Row	Description	Part	References	Value	Footprint	Quantity Per PCB	Status	Datasheet
1	Unpolarized capacitor	C	C2	100nF	C_0504_1310Metric_Pad0.83x1.28mm_HandSolder	1	 	~
2	SMD Bipolar Electrolytic capacitor, Diameter 5.0mm, Heigth 5.4mm Alternate KiCad Library	C_Bipolar_SMD_D5.0mm_H5.4mm	C1	1uF	C_Elec_5x5.4	1	 	~
3	Triple LED RVB (Avago Technology)	RGB-LED	D1 D2 D3 D4 D5 D6	RGB-LED	LED_RGB	6	 	https://media.digikey.com/pdf/Data%20Sheets/Harvatek%20PDFs/B3803FCH-20C001112U1930%20V1.3.pdf
4	Generic connector, double row, 02x03, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)	Conn_02x03	J1	Conn_02x03	PinHeader_2x03_P2.54mm_Vertical_SMD	1	 	~
5	SMD 0805 Chip Resistor, European Symbol, Alternate KiCad Library	R_0805	R1	5K1	R_0603	1	 	~
6	3 Channel 12bit PWM constant currend LED Driver with single wire interface	TLC5973	U1	TLC5973	SOIC-8_3.9x4.9mm_P1.27mm	1	 	http://www.ti.com/lit/ds/symlink/tlc5973.pdf





Project info:
Schematic:	pedalboard-led-ring
Variant:	default
Revision:	
Date:	2023-05-22_19-36-40
KiCad Version:	7.0.2.1-36-g582732918d-dirty-deb11
Statistics:
Component Groups:	6
Component Count:	11 (11 SMD/ 0 THT)
Fitted Components:	11 (11 SMD/ 0 THT)
Number of PCBs:	1
Total Components:	11
